store_id,party,source_store_id,source_identifier,store_name,operator_id,street_address,town,county,postcode,latitude,longitude,source,location_type,public,street_address2,street_address3,temporarily_closed,permanently_closed
CG-104779-0000,Co-operative Group,104779-0000,4779.0,Chester - Westminster Park,The Co-operative Group,41-45 Five Ashes Road,Chester,Cheshire West And Chester,CH4 7QS,53.1720903,-2.9042265,Co-op location-services API,Food,True,Westminister Park Estate,,False,False
CG-105337-0000,Co-operative Group,105337-0000,5337.0,Crewe - Remer Street,The Co-operative Group,1C Remer Street,Crewe,Cheshire East,CW1 4LS,53.111136073294034,-2.439787957883896,Co-op location-services API,Food,True,,,False,False
CG-108291-0000,Co-operative Group,108291-0000,8291.0,Ewloe - St Davids Park,The Co-operative Group,St. Davids Park,Deeside,Flintshire,CH5 3XN,53.1865175,-3.0584414,Co-op location-services API,Food,True,Ewloe,,False,False
CG-105433-0000,Co-operative Group,105433-0000,5433.0,Saighton - Sandy Lane,The Co-operative Group,Sandy Lane,Saighton,Cheshire West And Chester,CH3 6BB,53.170855,-2.860048,Co-op location-services API,Food,True,,,False,False
CG-107332-0000,Co-operative Group,107332-0000,7332.0,Crewe - Parkers Road,The Co-operative Group,"Unit 1, Parkers Road",Crewe,Cheshire East,CW1 4PY,53.118461,-2.452837,Co-op location-services API,Lunar,True,Coppenhall,,False,False
CG-104922-0000,Co-operative Group,104922-0000,4922.0,Ewloe - The Highway,The Co-operative Group,The Highway Chester Road,Deeside,Flintshire,CH5 3DN,53.190461,-3.0471665,Co-op location-services API,Food,True,Hawarden,,False,False
CG-108100-0000,Co-operative Group,108100-0000,8100.0,Norton - Knypersley Road,The Co-operative Group,23-25 Knypersley Road,Stoke-On-Trent,Stoke-On-Trent,ST6 8HT,53.06316689999999,-2.161428599999999,Co-op location-services API,Food,True,Norton,,False,False
CG-104179-0000,Co-operative Group,104179-0000,4179.0,Endon - Leek Road,The Co-operative Group,138-140 Leek Road,Stoke-On-Trent,Stoke-On-Trent,ST9 9EW,53.05946309999999,-2.1367259,Co-op location-services API,Food,True,Endon,,False,False
CG-106919-0000,Co-operative Group,106919-0000,6919.0,Kidsgrove - Cedar Avenue,The Co-operative Group,Cedar Avenue,Stoke-On-Trent,Staffordshire,ST7 1LA,53.085209,-2.255517,Co-op location-services API,Food,True,Kidsgrove,,False,False
CG-109417-0000,Co-operative Group,109417-0000,9417.0,Barrow Upon Soar - High Street,The Co-operative Group,19-21 High Street,Loughborough,Leicestershire,LE12 8PY,52.7515836,-1.1494719,Co-op location-services API,Food,True,Barrow-On-Soar,,False,False
CG-106757-0000,Co-operative Group,106757-0000,6757.0,Shenfield - Hutton Road,The Co-operative Group,210-212 Hutton Road,Brentwood,Essex,CM15 8NR,51.6308172,0.3288795,Co-op location-services API,Food,True,Shenfield,,False,False
CG-105659-0000,Co-operative Group,105659-0000,5659.0,Maidstone - Loose Road,The Co-operative Group,1 Loose Road,Maidstone,Kent,ME15 7BW,51.266008888889,0.527341944444,Co-op location-services API,Lunar,True,,,False,False
CG-105276-0000,Co-operative Group,105276-0000,5276.0,Little Paxton - Great North Road,The Co-operative Group,Great North Road,St. Neots,Cambridgeshire,PE19 6EN,52.25148,-0.265564,Co-op location-services API,Food,True,Little Paxton,,False,False
